	question	label	category
12	我正在玩一个游戏叫《古剑奇谭二：永夜初晗凝碧天》，游戏中有一个角色叫乐无异，我对他非常有兴趣，想把他的所有信息都弄清楚，包括他的生父，养父母，师父，兄长，身份，出处，专属武器，出生地等，能帮助我一下吗？	检索	检索
13	我上yi次向你询问了关于史蒂文·德福尔的一些讯息，以长我的足球知识。他在比利时诞生，具有173cm的长身和64kg的体重量。他是那个球的成员队，我在场上的位置什么shi？	检索	检索
14	与亚内武文有关系的人物都有谁？	检索	检索
15	气质优雅，窕身材的凯蒂·卡西迪在演艺圈中有着脚露头角的表现。我对她的赞称从未停止过，如同她对艺演事业的追求。然而，对于她的一些人个情况，例如她的星的座、血统、身的高、兴爱趣好以及她的一些特h长，我了解得并全不够面，可否给我补充一下？	检索	检索
16	赫夫勒于哪年哪月哪日合同到期？	检索	检索
17	我最热想去微山县旅游，米知道这个地方的邮编政、电话号区和车牌代码那吗？还有就是他那边的主要方言我也想xzy了解一下，好提前准备。	检索	检索
18	夺命枪火拿下了哪些奖项？	检索	检索
19	徐东香，他是一位在国内有着重要影响力的赛艇运动员，我对他的运动项目和他在国家队的表现非常感兴趣。然而，我却不确定他的出生地，他的民族是什么，他的生日是何时的事实。还有，他的星座和身高是什么呢？他的体重和他在比赛中的最好成绩如何，这可以衡量一个运动员的实力。此外，他是否是我们伟大的共产党的一份子呢？你能帮我找到他的这些信息吗？	检索	检索
20	浮槎山有什么特色？	检索	检索
21	廖沫沙是我非常尊敬的一位作家，他的生平和作品我都挺感兴趣的。但我还有一些关于他的生活琐事不是很清楚。比如他的别名和本名，他的国籍和民族，属于哪一党派，他的出生日期和逝世日期是哪一天。他的主要职业是什么，他毕业于哪所大学，又是在哪个时期创作的。最后，他受影响于哪位作家呢？	检索	检索
22	原梓菲这位是享有声誉的女_actor，她的性格活泼、开朗热爱交朋友。对于她的个人爱好和偏好以及最喜爱的歌手，我暂时不太清楚我。她还十分崇拜她父亲。请你提供有关她这方面的信息，让我了解她更多一些x3。	检索	检索
23	什么是苏学亭用来放书地方的名字？	检索	检索
24	格勒克道尔吉·德米德是什么时候去世的？	检索	检索
25	历史上的明云都做出了哪些贡献？	检索	检索
26	鹤屋是一位在动漫界深受欢迎的角色，她创作者是谁，她出现在哪部作品，她是哪个学校的学生，她担任什么重要职务，她的声优是谁？	检索	检索
27	哪一年在瑞士侏罗山区创立了瑞士迪沃斯	检索	检索
28	大石秀一郎有什么绝技？	检索	检索
29	修革是哪所学校毕业的？	检索	检索
30	蒙奇- D-路飞的短项是哪些呢	检索	检索
31	弗雷德里克·威廉·伯比奇在哪里工作？	检索	检索
32	姚嘉妮的胸围、腰围和臀围是多少？	检索	检索
33	戴立忍，是一个中国籍的演员和导演，他的出生地在台东市，血型是B型，况且他是狮子座。他有着如《不能没有你》、《第四张画》、《白色巨塔》等代表作品。我对他的出生日期，以及他的经纪公司名称和他的兴趣、特殊技能有些模糊，高兴能向你请教。	检索	检索
34	伊利丹·怒风是我在游戏中的一个最爱的角色，他是恶魔猎手，同时也是法师。伊利丹·怒风的英文名是Illidan Stormrage，他是半恶魔半暗夜精灵。除此之外，我想知道他的中文名，别名和他的羽贯、民族是什么？	检索	检索
35	我对日本历史人物仲宗根丰见亲的背景信息非常感兴趣。你能告诉我他的民族，出生地，他在琉球国的头职，他的族姓，封爵，甚至他的母亲和妻子的名字吗？我还想知道一些关于他的其他亲属信息。	检索	检索
36	迎春的种叫什么？	检索	检索
37	我对张嘉儿有一未知之处，能帮我查查她的星座，原籍她和父母是哪里人，她是哪哪里出生的，另外我还想知道她是的教育背景，目前在地方是哪在活动以及是那家公司在经纪她。此外，我想知道她有获得过哪些重要的jiang？	检索	检索
38	属于艾米·缇加登互联网资料库的编号是多少？	检索	检索
39	迈克尔·里德所属的联盟是什么？	检索	检索
40	天津城市建设管理职业技术学院的具体地址是在哪里？	检索	检索
41	在《轻音少女》里中野梓在所处乐团中担任的职务有哪些？	检索	检索
42	芦林湖的门票是多少？	检索	检索
43	战斗力最强的第9师团隶属于哪个部队？	检索	检索
44	朱迪·丹奇是一位非常出色的演员，她的出色表演能力和深厚的戏剧功底使我对她非常钦佩。但我对她的个人信息了解的并不多，不清楚她的出生年月，星座，以及身高等信息。另外，我也很好奇她的实名是什么，和她的配偶情况。至于她的代表作品，我也希望你能帮我列出，这样我可以更好的了解她。	检索	检索
45	近期我看了一部电影，其中的一个角色方世杰给我留下了深刻的印象，他的演技真的很棒，那他的本名是什么，今年多大了，来自哪里呢?	检索	检索
46	乌德穆尔特共和国的行政长官是谁？	检索	检索
47	火影忍者中都有哪些人物是药师兜想要挑战的？	检索	检索
48	我知道周仰杰是著名的鞋师，其设计的高级女鞋倍受好莱坞明星的喜爱。他名字 Jimmy Choo已经成为一个全球知名品牌。然而，我了解到他的原名并不是Jimmy Choo，他真正的yuan名竟是什么呢？他在哪ly出生长大的？他的教育jing历是怎样的？他现在住在哪lix？他的宗教信仰又是什么么？他于何时开始活跃在时尚jie？	检索	检索
49	对于王世襄先生我有一定的了解，知道他的别名、国籍、民族、出生地、出生日期和逝世日期等基本信息，同时也了解他的主要成就和代表作品。但对于他的更深层次的信息，例如他的籍贯、毕业院校、其他作品、其他成就等我了解的并不多，希望你能告诉我更多关于王世襄先生的信息。	检索	检索
50	请写一篇介绍太阳能发电原理的文章，不少于800字。	生成	生成
51	如果你是一位健康生活方式专家，如何降低日常生活中的压力？	生成	生成
52	请写一份关于未来科技发展的市场分析报告，至少1000字。	生成	生成
53	请写一篇关于气候变化对全球粮食供应的影响的研究论文摘要。	生成	生成
54	请写一篇介绍区块链技术应用的文章，不少于1000字。	生成	生成
55	请写一篇关于未来太空探索的文章，不少于1500字。	生成	生成
56	请写一份关于电动汽车市场趋势的市场研究报告，至少1200字。	生成	生成
57	请写一篇关于生态保护的文章，不少于800字。	生成	生成
58	请写一份关于人工智能在医疗领域应用的研究报告，至少1500字。	生成	生成
59	请写一篇介绍太阳能发电系统的文章，不少于1000字。	生成	生成
60	请写一份关于可再生能源市场前景的研究报告，至少1200字。	生成	生成
61	请写一篇关于环保意识的文章，不少于800字。	生成	生成
62	请写一份关于人工智能伦理问题的研究报告，至少1500字。	生成	生成
63	请写一篇介绍电动汽车技术的文章，不少于1000字。	生成	生成
64	请写一份关于云计算市场发展的研报，至少1200字。	生成	生成
65	请写一篇关于人工智能在艺术创作中的应用的文章，不少于800字。	生成	生成
66	请写一份关于太空探索的研究报告，至少1500字。	生成	生成
67	请写一篇介绍生态保护的文章，不少于1000字。	生成	生成
68	请写一份关于生物技术市场前景的研究报告，至少1200字。	生成	生成
69	请写一篇关于人类探索火星的文章，不少于800字。	生成	生成
70	假如你是环境科学领域专家，正在构建文本分类数据集，请仿照以下示例对语句进行标注。示例：“最新研究发现，气候变化对极地冰川的影响更加严重。科学家们警告说，这可能会导致海平面上升，对全球生态系统产生深远影响。这一研究结果将在《自然》杂志中发表。(科学日报)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
71	请标注如下题目：“新型太阳能电池技术突破：更高效率和更低成本。研究团队在太阳能领域取得了重大突破，他们开发出一种更高效率、更便宜的太阳能电池技术，这将推动可再生能源的发展。这一发现将在下个月的能源科技大会上发布。(能源科技新闻)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
72	假如你是医学领域专家，正在构建文本分类数据集，请仿照以下示例对语句进行标注。示例：“最新研究表明，某种新药可以显著减轻糖尿病患者的症状，提高生活质量。这一研究结果已经发表在《医学杂志》上，引起了医学界的广泛关注。(医学新闻网)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
73	请标注如下题目：“新型机器人手术系统在医院首次成功使用。医生们在一场关键手术中首次使用了最新研发的机器人手术系统，该系统使手术更加精确，减少了患者的康复时间。这一突破性技术将在未来改变医疗领域。(医疗科技新闻)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
74	假如你是社会科学领域专家，正在构建文本分类数据集，请仿照以下示例对语句进行标注。示例：“最新研究发现，社交媒体对青少年的心理健康产生了负面影响。研究表明，过度使用社交媒体与焦虑和抑郁症症状增加之间存在关联。这一研究结果已在《心理学杂志》上发表。(心理学新闻网)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
75	请标注如下题目：“新研究揭示了城市交通拥堵的根本原因。一项最新研究发现，城市交通拥堵的主要原因是道路基础设施不足以应对不断增长的汽车数量。研究结果将有助于改善城市交通管理。(城市规划新闻)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
76	假如你是教育领域专家，正在构建文本分类数据集，请仿照以下示例对语句进行标注。示例：“最新研究表明，在线教育对学生的学术成绩和学习体验产生了积极影响。研究发现，在线学习平台提供了更灵活的学习机会，有助于学生更好地掌握知识。这一研究结果已在《教育研究杂志》上发表。(教育新闻网)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
77	请标注如下题目：“新教育政策的影响：学校实施更多的STEM教育。最新的教育政策要求学校加强科学、技术、工程和数学(STEM)领域的教育。这一政策将有助于培养更多的科技人才。(教育政策新闻)”这段话属于以下哪个领域类别？请输出选项。A.自然科学 B.社会科学 C.医学 D.工程技术 E.农业 答案：	生成	生成
78	请仿照以下示例完成文本分类任务。示例：“科学家们在最新研究中发现了一种新的行星，它可能拥有适宜生命存在的条件。这一行星距离地球很远，但它的气候和大气成分使其成为一个有趣的研究对象。这一发现将在天文学期刊中发表。(天文学新闻)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
79	请对以下题目进行文本分类：“新的医疗技术正在改善手术的精确性和效率。最新的医疗设备和手术技术使医生能够更好地治疗患者，减少手术风险。这一领域的创新将在医疗杂志中详细介绍。(医疗科技新闻)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
80	请仿照以下示例完成文本分类任务。示例：“最新的财经数据显示，全球股市正在经历波动。投资者担心市场不稳定性，寻求风险管理策略。这一趋势将在财经新闻中详细报道。(财经新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
81	请对以下题目进行文本分类：“最新电影票房数据显示，一部新上映的大片在周末取得了巨大成功。观众纷纷涌入电影院观看，使电影取得了高票房。这一娱乐新闻将在影视杂志中详细报道。(影视新闻网)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
82	请仿照以下示例完成文本分类任务。示例：“最新的教育政策改革将对学校和教育系统产生深远影响。政府计划提高教育质量，改进教学方法，以满足未来工作市场的需求。这一教育新闻将在教育杂志中详细报道。(教育新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
83	请仿照以下示例完成文本分类任务。示例：“最新科技创新改变了我们的生活方式。新技术的出现使我们的生活更加便捷，但也带来了新的挑战。科技创新如何影响我们的未来生活？(科技新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
84	请仿照以下示例完成文本分类任务。示例：“最新医疗研究取得突破性进展。科学家们发现一种新的疗法，可以治疗某种罕见的疾病。这一发现可能会挽救许多患者的生命。(医学新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
85	请仿照以下示例完成文本分类任务。示例：“最新教育政策对学校有何影响？政府最近出台了一项新的教育政策，要求学校改革教学方法。这一政策将如何影响学生和教育系统？(教育新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
86	请仿照以下示例完成文本分类任务。示例：“最新环保政策对工业企业的影响。政府发布了一项新的环保政策，要求工业企业减少排放。这一政策将如何改变工业界的运作？(环保新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
87	请仿照以下示例完成文本分类任务。示例：“最新股市动态：投资者对市场走势感到担忧。股市最近的波动使投资者感到不安，他们担心市场可能会下跌。分析师们对市场前景有何看法？(财经新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
88	请仿照以下示例完成文本分类任务。示例：“最新教育趋势：在线学习受欢迎。越来越多的学生选择在线学习，这一趋势在全球范围内蔓延。在线学习如何影响传统教育？(教育新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
89	请仿照以下示例完成文本分类任务。示例：“最新环保技术：可再生能源发展迅速。可再生能源技术的发展助推环保，太阳能和风能等新能源受到欢迎。可再生能源如何改善环境？(环保新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
90	请仿照以下示例完成文本分类任务。示例：“最新医疗研究：癌症治疗取得重大突破。科学家们发现一种新的治疗方法，可以提高癌症患者的生存率。这一发现可能会拯救许多患者的生命。(医学新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
91	请仿照以下示例完成文本分类任务。示例：“最新环保政策：减少塑料污染。政府发布了一项新的环保政策，要求减少塑料污染，推动可持续发展。这一政策将如何影响环境保护？(环保新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
92	请仿照以下示例完成文本分类任务。示例：“最新医疗技术：基因编辑治疗取得突破。科学家们使用基因编辑技术成功治疗了一种遗传疾病，这一技术将如何影响医疗领域？(医学新闻网)” 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
93	请仿照以下示例完成文本分类任务。示例：“新能源汽车市场增长迅猛，电动汽车销量不断上升。各大汽车制造商都加大了对电动汽车技术的研发和生产投入。这一趋势将推动绿色出行的发展。(能源新闻)“ 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
94	请对以下题目进行文本分类：“科技巨头发布新一代智能手机，配备更强大的处理器和摄像头。这款手机的推出引发了消费者的高度关注，预计将在市场上取得巨大成功。(科技新闻)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
95	请仿照以下示例完成文本分类任务。示例：“最新研究发现，大学生心理健康问题日益严重，焦虑和抑郁症症状有所增加。学校需要更多的心理健康支持资源来帮助学生应对压力。(教育新闻)“ 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
96	请对以下题目进行文本分类：“全球金融市场的不稳定性导致股市暴跌，投资者纷纷抛售股票。分析师认为，全球财经形势不容乐观，投资者需要采取谨慎的投资策略。(财经新闻)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
97	请仿照以下示例完成文本分类任务。示例：“最新科研成果揭示了地球气候变化的趋势，警告气温不断上升和极端天气事件的增加。科学家呼吁采取紧急措施来减缓气候变化。(环保新闻)“ 判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？ 答案：	生成	生成
98	请对以下题目进行文本分类：“最新电影上映，获得观众热烈好评。影片导演和演员阵容均备受认可，被视为今年的票房黑马。(娱乐新闻)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
99	请对以下题目进行文本分类：“全球股市大幅波动，投资者面临风险。近期，全球股市出现大幅波动，投资者面临着不小的风险。分析师指出，这与全球经济不稳定和政治动荡有关。(财经新闻网)”这段话属于以下哪个领域类别？判断这段话属于体育、娱乐、科技、教育、财经中的哪个类别？答案：	生成	生成
